date,text,Pump,Exchange,Coin,Notes
2020-08-10T02:54:20,,,,,
2020-08-10T02:54:33,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members in just 55 minutes💰👇'}, '']",,,,
2020-08-10T02:55:52,"[{'type': 'hashtag', 'text': '#TCT'}, '\nBuy zone 76-78\nSell zone 82-87-95-107+']",,,,
2020-08-10T02:55:55,"[{'type': 'hashtag', 'text': '#tct'}, ' hit 82✅']",,,,
2020-08-10T02:56:35,"[{'type': 'hashtag', 'text': '#tct'}, ' result \n1st target achieved within 55 minutes ✅\n\n', {'type': 'bold', 'text': 'One more very quick profit 9%💰🤑'}, '\n\nAmazing calls by our team 👍\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, ' for premium membership and earn daily quick profit']",,,,
2020-08-10T02:56:57,"[{'type': 'hashtag', 'text': '#tct'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T02:57:05,,,,,
2020-08-10T02:57:19,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members in just 22 minutes💰👇'}, '']",,,,
2020-08-10T02:57:27,"[{'type': 'hashtag', 'text': '#CELR'}, '\nBuy zone 42-43\nSell zone ', {'type': 'phone', 'text': '46-48-52-56'}, '+']",,,,
2020-08-10T02:57:30,"[{'type': 'hashtag', 'text': '#celr'}, ' hit 46✅']",,,,
2020-08-10T02:58:02,"[{'type': 'hashtag', 'text': '#celr'}, ' result \n1st target achieved within 22 minutes ✅\n\n', {'type': 'bold', 'text': 'One more quick profit 9.5%💰💰'}, '\n\n☎️ Contact  ', {'type': 'mention', 'text': '@NathanJensen'}, ' earn daily quick profit']",,,,
2020-08-10T02:58:18,"[{'type': 'hashtag', 'text': '#celr'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T02:58:25,,,,,
2020-08-10T02:58:36,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members in just 22 minutes💰👇'}, '']",,,,
2020-08-10T02:58:44,"[{'type': 'hashtag', 'text': '#ONE'}, '\nBuy zone 52-54\nSell zone ', {'type': 'phone', 'text': '58-62-66-71'}, '+']",,,,
2020-08-10T02:58:46,"[{'type': 'hashtag', 'text': '#one'}, ' hit 58✅']",,,,
2020-08-10T02:59:17,"[{'type': 'hashtag', 'text': '#one'}, ' result \n1st target achieved in just 22 minutes ✅\n\n', {'type': 'bold', 'text': 'One more quick profit 9%💰🤑'}, '\n\nAmazing calls by our team👍\n\n☎️ Contact  ', {'type': 'mention', 'text': '@NathanJensen'}, ' premium membership and earn daily quick profit']",,,,
2020-08-10T02:59:53,"[{'type': 'hashtag', 'text': '#one'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T03:00:44,,,,,
2020-08-10T03:00:56,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members in just 5 minutes💰👇'}, '']",,,,
2020-08-10T03:01:05,"[{'type': 'hashtag', 'text': '#DOCK'}, '\nBuy zone 72-74\nSell zone ', {'type': 'phone', 'text': '78-82-88-95'}, '+']",,,,
2020-08-10T03:01:07,"[{'type': 'hashtag', 'text': '#DOCK'}, ' hit 80✅']",,,,
2020-08-10T03:01:41,"[{'type': 'hashtag', 'text': '#dock'}, ' result \n1st target achieved in just 5 minutes ✅\n\n', {'type': 'bold', 'text': 'One more very quick profit 8%💰🤑'}, '\n\n☎️ Contact  ', {'type': 'mention', 'text': '@NathanJensen'}, ' for premium membership and grab all quick profit signals']",,,,
2020-08-10T03:01:56,"[{'type': 'hashtag', 'text': '#dock'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T03:02:04,,,,,
2020-08-10T03:02:18,"['🔥🔥 Last 12 hour Profit results 🚀🚀\n\n✅ ', {'type': 'hashtag', 'text': '#DOCK'}, ' 12% within 2 hour  \n✅ ', {'type': 'hashtag', 'text': '#TCT'}, ' 9% within 55 minutes \n✅ ', {'type': 'hashtag', 'text': '#CELR'}, ' 9.5% within 22 minutes\n✅ ', {'type': 'hashtag', 'text': '#ONE'}, ' 9% within 22 minutes \n✅ ', {'type': 'hashtag', 'text': '#NULS'}, ' 11% within 2 days \n✅ ', {'type': 'hashtag', 'text': '#BNT'}, ' 33% within 3 days\n\n', {'type': 'bold', 'text': 'Total profit 83.5%💰💰🤑'}, '\n\n👉 As you can see, you will earn back fees within 1 day. Still thinking and losing daily profit?\n\n☎ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-08-10T03:02:27,,,,,
2020-08-10T03:02:39,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 16 hour 💰👇'}, '']",,,,
2020-08-10T03:02:48,"[{'type': 'hashtag', 'text': '#OST'}, '\nBuy zone 96-99\nSell zone 104-110-118-130+']",,,,
2020-08-10T03:02:51,"[{'type': 'hashtag', 'text': '#ost'}, ' hit 104✅']",,,,
2020-08-10T03:03:19,"[{'type': 'hashtag', 'text': '#ost'}, ' result \n1st target achieved within 16 hour ✅\n\n', {'type': 'bold', 'text': 'One more quick profit 8%💰🤑'}, '\n\n☎️ Contact ', {'type': 'mention', 'text': '@AndrewWhales'}, ' for premium membership and earn daily quick profit']",,,,
2020-08-10T03:03:35,"[{'type': 'hashtag', 'text': '#ost'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T03:03:45,,,,,
2020-08-10T03:04:00,"[{'type': 'hashtag', 'text': '#celr'}, ' now hit 48🎯\n2nd target achieved within 18 hour ✅✅\n\n', {'type': 'bold', 'text': 'One more quick profit 14%💰💰🤑🤑'}, '\n\n☎️ Contact  ', {'type': 'mention', 'text': '@NathanJensen'}, ' premium membership']",,,,
2020-08-10T03:42:03,,,,,
2020-08-10T03:42:30,"[{'type': 'hashtag', 'text': '#one'}, ' now hit 63🎯\n2nd target achieved within 18.5 hour ✅✅\n\n', {'type': 'bold', 'text': 'One more quick profit 18%💰💰🤑'}, '🤑\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, ' premium membership']",,,,
2020-08-10T03:42:45,,,,,
2020-08-10T03:42:57,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 3 hour 💰👇'}, '']",,,,
2020-08-10T03:43:05,"[{'type': 'hashtag', 'text': '#FTM'}, ' rebuy\nBuy zone 115-120\nSell zone 129-136-149-168+']",,,,
2020-08-10T03:43:08,"[{'type': 'hashtag', 'text': '#FTM'}, ' hit 140✅✅']",,,,
